medium	associatedURL	boxHeightInInches	boxLengthInInches	boxWeightInPounds	boxWidthInInches	scannednumber	upc	asin	country	title	fullTitle	series	numberInSeries	edition	aspect	mediacount	genre	price	currentValue	language	netrating	description	owner	publisher	published	rare	purchaseDate	rating	used	signed	hasExperienced	notes	location	paid	condition	notowned	platform	key	developer	esrbrating	players
game							0045496870041	B00000DMB3	us	Legend of Zelda: Ocarina of Time	Legend of Zelda: Ocarina of Time						Role-Playing/ Player's Choice Games/ Fantasy/ Adventure	$39.99	$9.00		5	The Legend of Zelda: Ocarina of Time may be the greatest single-player video game ever created in any genre. It's that good. Those new to Nintendo's enormously popular Zelda series will be glad to know this game stands completely on its own. Our hero, Link, starts the game as a young boy living in a magical forest village populated by elf-like children. But there is evil lurking in the world. Strange monsters are appearing, and the land is changing. It's up to Link to discover why, defeat the monsters, and stop the evil at its source./ The game world's ever-changing environment looks like a fairy tale come to life. Majestic waterfalls, towering castles, and magical forests are a feast for the eyes and ears. Rivers flow, rain falls, the sun and moon rise and set. There's even an erupting volcano! Exploring this world is half the fun of the game. Along the way, you learn musical tunes that you can play on the flute-like Ocarina, a magical device that helps you teleport, alter the weather, even control time itself./ Character interaction is important to gather clues. The fairy princesses, singing frogs, and dragons you'll meet can be cute, humorous, or somewhat terrifying. Sprinkled liberally throughout the game are hundreds of secret treasures and enjoyable minigames (one of which, the fishing game, would almost be worth buying by itself). Game controls are easy to learn. There's even an elaborate fight training course built right into the game. Controlling the hero quickly becomes instinctive, and you can concentrate on saving the world. To win the game, you'll have to use not only Link's sword, but your mind as well. This game's challenging and inventive puzzles really make you think. In fact, to keep from getting stuck, it's worth spending a few bucks on an official player's guide. With The Legend of Zelda: Ocarina of Time, Nintendo has come up with an all-consuming adventure title that will provide days of engrossing gameplay. --Eric Fredrickson/ Pros:/  &#x2022; Best single-player video game/  &#x2022; Freedom to explore a rich, complex world/  &#x2022; Helpful fairy guide gives hints/  &#x2022; Charming, humorous, lighthearted, yet challenging/ Cons:/  &#x2022; Some puzzles can be frustrating/  &#x2022; Only one saved game per player--don't save when you're stuck!/  &#x2022; Much more fun with Rumble Pack/ 		Nintendo			07-07-2005										Nintendo 64			Everyone	
game							0045496870416	B00000J2OO	us	Star Wars - Episode I - Racer	Star Wars - Episode I - Racer						Racing & Flying/ Star Wars/ Computer & Video Games/ Space/ Adventure	$59.99	$3.35			Star Wars: Episode 1 Racer is, of course, a shameless tie-in game based on the Boonta Eve Pod Race scene from the movie. As a Star Wars title it's sure to get a lot of interest, but the question is: is it any fun to play? Yes, actually, it is./ Racer differs from a normal racing game. Rather than merely steering your way around the track, you can enhance your turns by using the Z button on the controller. Holding down the button shifts the cockpit off to the side and kicks you sideways with a burst of extra speed. And of course, a big part of pod racing is the spectacular crashes, and here LucasArts does not disappoint. As Qui-Gon says, "Pod racing is very dangerous!" Even your opponents crash--sometimes into each other./ The 3-D visuals and sound are good, but not groundbreaking. To forestall the inevitable boredom that all racing games eventually leave you with, the game lets you race on different planets, each with their own tracks. The tracks are inventive, especially in the later levels: some tracks have shortcuts to discover, others have zero-gravity sections and hair-raising jumps. The racing pods also differ, and with victory in certain races, more powerful craft become available. A pit area allows you to view all the weird designs up close in 3-D./ In tournament mode, prize money is awarded for top finishers; you can use the cash to buy parts to upgrade your pod. It's a good thing the purse isn't paid out in Republic credits: Star Wars fans will recognize the parts dealer as none other than Watto. His wry comments spice up the shopping experience, and he sounds just like he did in the movie. Racer is a worthwhile purchase for fans of Star Wars or racing games. --Eric Fredrickson/ Pros:/  &#x2022; Imaginative tracks keep it interesting/  &#x2022; Watto's parts shop!/  &#x2022; Up to 2 players (each needs his or her own controller)/  &#x2022; Star Wars/ Cons:/  &#x2022; Basically a racing game, won't hold your interest forever/  &#x2022; Does not allow a 4-player option/ 		Nintendo	01-06-1999		07-07-2005										Nintendo 64			Everyone	
game							0045496870379	B00000DMB2	us	Star Wars: Rogue Squadron	Star Wars: Rogue Squadron						Player's Choice Games/ Star Wars/ Computer & Video Games/ Sci-Fi		$7.50		4.5	It is a time soon after the destruction of the first Death Star. Luke Skywalker has formed a squadron of hot-shot pilots to engage the still-formidable Imperial forces. You, as Luke, must lead this rogue squadron in a series of galaxy-spanning raids and rescues. To complete all your missions, you'll need good flying skills, fast reflexes, a keen eye, and a quick trigger finger./ You get to fly all your favorite ships: The X-wing, Y-wing, snowspeeder--even the Millennium Falcon. There are also some "secret" ships, such as the sleek Naboo Starfighterfrom Star Wars: Episode I, The Phantom Menace, a TIE interceptor, and, um, a '78 Buick./ The flight simulation in this game is first-rate. You'll find yourself leaning to the side as you pull a high-G turn in pursuit of Imperial TIE fighters. And the outstanding graphics and sounds are realistic enough to transport you to the Star Wars universe. Every detail is in place, right down to the individual Stormtroopers you can see running around (and trying to shoot you). One of the more impressive sequences lets you bring down Imperial Walkers by using the tow cables on your snowspeeder. Nice touch./ This is a single-player game, but you start each mission with a few wingmen from your squadron, and the well-done spoken dialogue between pilots and commanders really makes you feel like part of a team. The only significant shortcoming is the lack of a cooperative multiplayer option. With its excellent gameplay, varied environments, and interesting missions, Star Wars: Rogue Squadron is sure to become a long-time favorite. --Eric Fredrickson/ Pros:/  &#x2022; Faithful to lots of Star Wars details/  &#x2022; Satisfying flight action, explosions, sound effects/  &#x2022; Interesting missions and plot/  &#x2022; See--and fight over--the Spice mines of Kessel and other famous Star Wars planets/ Cons:/  &#x2022; For some reason, you can only fly clockwise when bringing down a Walker/  &#x2022; No "easy" setting for those without The Force/  &#x2022; Voices of Luke, Wedge, and Han don't sound like the real thing/ 		Nintendo	01-11-1999		07-07-2005										Nintendo 64			Teen	
game							0045496870010	B00000F1GM	us	Super Mario 64	Super Mario 64						Action/ Nintendo 64/ Player's Choice Games/ Fantasy/ Adventure		$13.00		4.5	The game that launched the Nintendo 64 system stands the test of time as one of the first and best exploratory action//adventure games. Guide the legendary plumber through an incredibly vast magical world with never-before-seen movement and camera-angle freedom. Mario's got the moves with graduated speeds of running and walking, jumps, super jumps, bounce attacks, swimming, and more. The more you play, the more moves you'll discover./ This industry milestone game lets gamers play at their own pace, encouraging them to explore new nooks and crannies of its many levels with a Zen-like approach where the journey is as important as the goal. Other N64 games such as Zelda, Banjo-Kazooie, and Donkey Kong 64 all owe much of their inspiration to this gem of a game. A showcase for the system's graphics and processing speed capabilities, Super Mario 64 is a must-have for any N64 owner. --Jeff Young/ Pros:/  &#x2022; Huge world makes for enduring game experience/  &#x2022; Plenty of room for replay/  &#x2022; State-of-the-art graphics for its time/  &#x2022; Imaginative levels keep you guessing, and helpful characters act as an in-game tutorial/ Cons:/  &#x2022; First-generation game doesn't feature as much texture or detail in graphics/ 		Nintendo			07-07-2005										Nintendo 64			Everyone	
game							0646227668397	B000038A7C	us	Tom Clancy's Rainbow Six	Tom Clancy's Rainbow Six						Military & Espionage/ Shooter/ Real Time	$59.99	$5.85		4.5	Every once in awhile, a game comes along that pulls elements of popular game genres together in a refreshing new way. Rainbow Six is such a game, taking the engrossing realism of a first-person action game, such as GoldenEye 007, and adding a strategy element that brings enormous depth to the gameplay./ Tom Clancy authored the Rainbow Six game while drafting the novel of the same name, and the attention to detail shows in the depth and maturity of the story and game design. Players take command of an elite anti-terrorist team through 12 missions that vary from saving hostages to disarming bombs. A plot unravels along the way that literally leaves the fate of the world in the player's shaking hands (a rumble pack works wonders here)./ Before jumping into the mission, players can read briefings and bios of the terrorists, choose team members based on specialty, and strategize each move using an overhead map of the area or building they must infiltrate. Setting waypoints in the planning stage allows the computer-controlled team members to, say, infiltrate a back door while the player leads another team through the front door in the first-person view. A few button pushes shifts the player's control to the other team. Realism is key here, and 20 minutes of planning may end with one bad move. That is, if the terrorist responds intelligently--the artificial intelligence (AI) is a bit buggy at times. Two players can complete missions together, creating a multiplayer option that sure is a welcome change from running around with guns blazin'. --Eric Twelker/ Pros:/  &#x2022; An engrossing game, paced as one might expect from a novelist/  &#x2022; Effective ambient sound effects/  &#x2022; An excellent port from the acclaimed PC version/ Cons:/  &#x2022; Realism is sometimes compromised by buggy AI/  &#x2022; Graphics are a bit plain in some areas/ 		UBI Soft	22-11-1999		07-07-2005										Nintendo 64		ubi soft	Teen	
game							0045496960926	B00009PS24	us	F-Zero GX	F-Zero GX						Games/ GameCube/ Simulation/ Space/ Racing & Flying/ Electronics/ Video Games/ Select GameCube Games	$49.99	$10.00		4.5	The future of racing has arrived! High speed fun in the fastest, most visually stunning racing game ever.		Nintendo	28-08-2003		07-07-2005										Nintendo GameCube			Teen	
game							0739069630094	B00006DY3G		Robotech: Battlecry					Video Game		Video Games/ Gamecube (Game Cube, Game-cube)/ Action/ Adventure	$49.99			4.18			TDK Media	15-10-2002		15-01-2005										Nintendo GameCube			Teen	
game							0020626721103	B000095ZHA		The Simpsons: Hit and Run					Video Game		Video Games/ Gamecube (Game Cube, Game-cube)/ Action/ Adventure/ Racing/ Flying	$49.99			4.36			Vivendi Universal	19-09-2003		15-01-2005										Nintendo GameCube			Teen	
game							0023272652586	B00005QDPZ		Star Wars Rogue Leader: Rogue Squadron II					Video Game		Star Wars (Starwars)/ Video Games/ Gamecube (Game Cube, Game-cube)/ Racing/ Flying	$49.99			4.37			Lucasarts Entertainment	21-11-2001		15-01-2005										Nintendo GameCube			Rating Pending	
game							0014633147254	B0000ARQMX		The Sims Bustin Out					Video Game		Video Games/ Gamecube (Game Cube, Game-cube)	$49.99			4.46			Electronic Arts	15-12-2003		15-01-2005										Nintendo GameCube		Maxis	Teen	
game							0014633148558	B0002I9RR2		Urbz: Sims in the City					Video Game		Video Games/ Gamecube (Game Cube, Game-cube)				3			Electronic Arts	09-11-2004		15-01-2005										Nintendo GameCube		Maxis	Teen	
game							0722674300063	B0000DI6BB		Pac Man World 2 Bundle					Video Game		Video Games/ Gamecube (Game Cube, Game-cube)/ Action/ Adventure				4.43			Namco	02-12-2003		15-01-2005										Nintendo GameCube		Namco	Everyone	
game							0722674021456	B00008H2IS		Soul Calibur II					Video Game		Video Games/ Gamecube (Game Cube, Game-cube)	$49.99			4.55			Namco	29-08-2003		15-01-2005										Nintendo GameCube		Namco	Teen	
game							0047875804074	B00006LU9D		Tony Hawk Pro Skater 4					Video Game		Video Games/ Gamecube (Game Cube, Game-cube)/ Sports/ Outdoors	$49.99			4.36			Activision	08-11-2002		15-01-2005										Nintendo GameCube		Neversoft	Teen	
game							0045496960469	B000084318		The Legend of Zelda: The Wind Waker					Video Game		Video Games/ Gamecube (Game Cube, Game-cube)/ Action/ Adventure	$49.99			4.38	The Legend of Zelda series practically defined adventure gaming for an entire generation. Link, the hero of the adventure games, delighted millions by starring in games for each Nintendo console from the NES and Super NES to the Nintendo 64. Link brings this beloved franchise to the Nintendo GameCube in The Legend Of Zelda: The Wind Waker, and he's more animated than ever./ / The first thing you'll notice about The Legend Of Zelda: The Wind Waker is that it looks completely different from any previous title in the franchise. Nintendo has opted to use cel-shading technology on Wind Waker; the result is that the game looks like a cartoon. Die-hard Zelda purists initially howled at this change, arguing that the game skews too young. I think it's fantastic. The cartoon animation style allows for better expression of the characters, and several of the animations--like Link trying to pick up an object that's too heavy--are so cute that you can't help but laugh a little./ / The second thing you&#x2019;ll notice is a focus on wind. Instead of trotting around on foot, Link travels from island to island on a talking boat, but he doesn't get far without the wind blowing in right direction. Luckily, you'll learn how to change the direction of the wind early in the game, and you'll do so frequently--not only to power your boat but also to solve puzzles. Clever use of wind makes Wind Waker stand out from more conventional adventure games./ / The third thing you&#x2019;ll notice is that the game is just plain fun. Puzzles are innovative and refreshing, and despite some tricky puzzles, I never felt too frustrated to keep playing. The locales you'll visit are invariably exotic and fun to explore, and the host of bizarre creatures you'll encounter (friendly and otherwise) are always a kick in the pants. Moreover, though the look is radically different, Wind Waker feels like a classic Zelda game. Veterans of the early games in the franchise will experience more than a bit of nostalgia while playing it./ / The Legend Of Zelda: The Wind Waker is everything you've come to expect from a Zelda game, and it's one of the best adventure games to date. This is a must-have title for any GameCube owner. --Jon "Safety Monkey" Grover/ / / / / / Pros:/ / / / / / &#x2022;  New cel-shaded animation looks great/ &#x2022;  Puzzles and characters are a lot of fun/ &#x2022;  There's a special place in the heart of any gamer who's ever owned a Nintendo console, and that place is shaped like a Triforce/ / / / Cons:/ / / / &#x2022;  Some Zelda purists may be turned off by the cartoon look/ / 		Nintendo	27-03-2003		15-01-2005										Nintendo GameCube		Nintendo	Everyone	
game							0045496960872	B00006IJJK		Metroid Prime					Video Game		Video Games/ Gamecube (Game Cube, Game-cube)/ Action/ Adventure	$49.99			4.54			Nintendo	20-11-2002		15-01-2005										Nintendo GameCube		Nintendo	Teen	
game							0013388110087	B00004SVNL	us	Bionic Commando	Bionic Commando						Military & Espionage		$4.96		5			Capcom			07-07-2005										Nintendo NES			Everyone	
game							0083717110040	B00005AV8W	us	Castlevania	Castlevania						Fantasy		$9.84		4			Konami			08-07-2005										Nintendo NES			Teen	
game							0083717110217	B00004SVO2	us	Castlevania III	Castlevania III						Fantasy		$9.99		5			Konami			08-07-2005										Nintendo NES			Teen	
game							0015812890244	B0009VRFFS	us	Contra	Contra (NES game) RARE!						Systems/ Kids & Family		$9.00					Nintendo			07-07-2005										Nintendo NES			Everyone	
game							0052145850002	B00002SWBH	us	Double Dragon	Double Dragon						Fighting		$24.98					Virgin Interactive			07-07-2005										Nintendo NES				
game							0719631000029	B00004SVP7	us	Dragon Warrior III	Dragon Warrior III						Role-Playing		$31.00		3.5			Enix America Corp.			08-07-2005										Nintendo NES			Everyone	
game							0018946110073	B00004SVSS	us	Ninja Gaiden	Ninja Gaiden						Fantasy		$6.95		4.5			Tecmo			07-07-2005										Nintendo NES				
game							0020588010086	B00004SVSU	us	Operation Wolf	Operation Wolf						Shooter		$0.65		3			TAITO VIDEO GAMES			07-07-2005										Nintendo NES				
game							0013388110056	B00004SVUB	us	Section Z	Section Z						Action/ Adventure		$1.64					Capcom			07-07-2005										Nintendo NES				
game							0044499000059	B00004SVUF	us	Shadowgate	Shadowgate						Role-Playing		$3.92		4.5			SEIKA VIDEO GAMES			07-07-2005										Nintendo NES				
game							0083717110149	B00004SVUI	us	Simon's Quest	Simon's Quest						Role-Playing		$2.98		4			Konami			08-07-2005										Nintendo NES				
game							0741062112095	B00004R9G3	us	Simpsons: Bart vs. the World	Simpsons: Bart vs. the World						Fantasy		$7.97					LJN GAMES			07-07-2005										Nintendo NES				
game							0083717120025	B00004SVUM	us	Skate or Die	Skate or Die						Boarding & Blading		$0.99					Konami			07-07-2005										Nintendo NES				
game							0017800165020	B0009VV53Q	us	Skate or Die 2	Skate or Die 2 (NES Nintendo) Game						Systems/ Kids & Family		$2.94					Nintendo			07-07-2005										Nintendo NES			Everyone	
game							0021481106067	B00004SVVB	us	Super Smash TV	Super Smash TV						Cars & Bikes		$4.75					LJN GAMES			07-07-2005										Nintendo NES				
game							0023582051529	B00004SVVF	us	T & C Surf Design	T & C Surf Design						Action/ Boarding & Blading		$0.49		3.5			LJN GAMES			07-07-2005										Nintendo NES				
game							0045496630539	B00004SVVT	us	Tetris	Tetris						Action/ Puzzle Games		$3.50		5			Nintendo			07-07-2005										Nintendo NES				
game							0013252002197	B00004SVWN	us	Werewolf	Werewolf						Fantasy		$2.65					Data East USA, Inc.			07-07-2005										Nintendo NES				
game							0786309012684	B0009KN0M6	us	World Class Track Meet	[Nintendo NES] World Class Track Meet						Systems/ Kids & Family	$14.99	$1.97			World Class Track Meet features various track and field events for players to compete in.		Nintendo			07-07-2005										Nintendo NES			Everyone	
game							0045496630331	B00004SVYE	us	Zelda II: Adventures of Link	Zelda II: Adventures of Link						Role-Playing/ Fantasy/ Adventure		$5.98		4			Nintendo			07-07-2005										Nintendo NES				
game							0047875816619	B000G7T7JC	us	Call Of Duty 3	Call Of Duty 3				Video Game/ CD-ROM		Military & Espionage/ Video Games	$49.99	$37.96		4	Call of Duty 3 delivers the intensity of World War II combat closer than ever. In this next-generation game, you'll experience the Normandy Breakout -- the historic campaign that made the liberation of Paris possible and brought the Allies a step closer to Berlin. Travel with four ordinary Allied soldiers -- American, British, Canadian and Polish -- as they're thrust onto an authentic, living battlefield for unprecedented combat, with advanced high-definition graphics, detailed character animations and explosive on-screen action. Call Of Duty 3 delivers the most immersive and cinematically intense war experience ever. Play as an infantryman, or commandeer multiple-occupancy vehicles like tanks, jeeps & motorcycles		Activision	2006-11-21 12:00:00 +0000		2007-02-11 15:19:18 -0500										Nintendo Wii			Teen	
game							0045496900014	B000FQBPCQ	us	The Legend of Zelda: Twilight Princess	The Legend of Zelda: Twilight Princess				Video Game/ CD-ROM		Gift Ideas/ Office Electronics/ Role-Playing/ Video Games	$49.99	$38.00		4.5	The Legend Of Zelda: Twilight Princess brings you back tot he land of Hyrule, as you uncover the mystery behind its plunge into darkness. Link, a young man raised as a wrangler in a rural village, is ordered by the mayor to attend the Hyrule Summit. He sets off, oblivious to the dark fate that has descended upon the kingdom. When he enters the Twilight Realm that has covered Hyrule, he transforms into a wolf and is captured. A mysterious figure helps him break free, and with the aid of her magic, they set off to free the land from the shadows. Link must explore the vast land of Hyrule and As he does, he'll have to enlist the aid of friendly folk, solve puzzles and battle his way through dangerous dungeons. In the Twilight Realm, he'll have to use his wolf abilities and Midna's magic to bring light to the land. Revisit classic and new characters - Link, Zelda, Midna and many others		Nintendo of America	2006-11-17 12:00:00 +0000		2007-02-11 15:19:22 -0500										Nintendo Wii			Teen	
game							0008888173199	B000GEDN5E	us	Rayman Raving Rabbids	Rayman Raving Rabbids				Video Game/ CD-ROM		Gift Ideas/ Accessories & Supplies/ Action/ Video Games	$49.99	$42.49		4	Rayman Raving Rabbids brings you back to the world of Rayman, just as it's being threatened by demonic rabbits! With the help of magical creatures, Rayman must battle to save his world from the bunnies. It's a great way for Rayman to punch his way onto a next-gen platforms!		Ubisoft	2006-11-17 12:00:00 +0000		2007-02-11 15:19:05 -0500										Nintendo Wii			Rating Pending	
game							0730865700011	B000GPW2QO	us	Trauma Center: Second Opinion	Trauma Center: Second Opinion				Video Game/ CD-ROM		Role-Playing/ Video Games	$49.99	$37.99		4	The follow-up to Trauma Center - Under the Knife, this is the first surgical video game for the Nintendo Wii. Sure, we've all imagined what it would be like to become a doctor. Years of medical school, residency, and clinic duty eventually pay off in a rewarding position saving people's lives. Or, you could skip all that and just put in a few hours after dinner. / The critically acclaimed medical drama simulation is making a house call on your Wii! Dr. Derek Stiles is back, but he's not the only surgeon on call?a new player joins the team, bringing along everything the doctor ordered: difficulty modes, new surgical implements like the defibrillator, and an exciting never-before-seen conclusion. So what are you waiting for? If one dose of Trauma Center wasn't enough, it's time you got a Second Opinion!		Atlus Software	2006-11-14 12:00:00 +0000		2007-02-11 15:19:13 -0500										Nintendo Wii			Teen	
game							0045496342043	B0007UATDG	uk	Wii Sports	Nintendo Wii Console (Includes Wii Sports)				Video Game		Hardware & Accessories/ Wii	&#x00a3;179.99	&#x00a3;300.00		4.5	In a nutshell:/ As if the idea of five games in one package didn't sound a good enough deal on its own the Wii's best multiplayer compendium comes free with the console./ The lowdown:&#x2028;Clearly realising that they need to provide some quick and obvious reasons why the Wii Remote is such a good idea Nintendo have packed in this compilation with the console, which includes simple versions of tennis, golf, baseball, bowling and boxing. The four player tennis game is the obvious stand out as you swing the Remote exactly as you would a real tennis racket, with the game seeming to almost magically interpret your movements into the game. All the other games work in a similar way, as you hold the Remote like a golf club or ready it like a baseball bat - you can even use it to gently roll bowling bowls and add some subtle aftertouch. The graphics make be purposefully basic but these are the games to instantly prove why the Wii is going to be such a revolution./ Most exciting moment:&#x2028;While even Wii Tennis can be played with very minor movements of the Wii Remote the boxing game actively encourages you to act things out properly. You hold up both the Remote and the nunchuck to simulate your two hands and then duck and weave as you switch between trying to pummel your opponent and dodging or blocking their own attacks./ Since you ask:&#x2028;You can use your own customised Mii Channel character in any of the games for that personal touch. The idea was originally just a joke featuring caricatures of Nintendo's top brass for a press conference, but it proved so popular that Nintendo ensured anyone could make their own character to play with./ The bottom line:&#x2028;Five of the best games on the Wii and they all come free with the console!-HARRISON DENT/ 		Nintendo	2006-12-08 12:00:00 +0000		2007-02-11 15:19:47 -0500										Nintendo Wii				
game							0014633074390	B000038AAL	us	Andretti Racing	Andretti Racing						Racing & Flying/ Car/ Greatest Hits Games/ EA Sports/ Racing & Driving/ Other Sports/ PlayStation	$16.97	$1.45		1.5			Electronic Arts	16-11-1999		07-07-2005										PlayStation			Everyone	
game							0790561500421	B000057URH	uk	Army Men : 3D	Army Men : 3D						Shoot-'em-up/ Action & Adventure		&#x00a3;0.97		4			3do			07-07-2005										PlayStation				
game							0765979702002	B00002STPE	us	Blood Omen: Legacy of Kain	Blood Omen: Legacy of Kain						Role-Playing/ Fantasy/ PlayStation/ Collections	$64.99	$10.00		4.5			Activision			07-07-2005										PlayStation			Mature	
game							0711719418023	B00002STKS	us	Bushido Blade	Bushido Blade						Fighting/ Fantasy		$11.50		4			Sony Computer Entertainment America			07-07-2005										PlayStation			Teen	
game							5032921012577	B000051VHI	uk	Chicken Run	Chicken Run						Family & Entertainment	&#x00a3;19.99	&#x00a3;4.79		3.67			Eidos Interactive	24-11-2000		07-07-2005										PlayStation				
game							0711719490029	B00000I1BQ	us	Crash Bandicoot	Crash Bandicoot						Action/ Fantasy/ Adventure/ Greatest Hits Games/ Playstation/ Collections	$19.99	$2.49		4	In the tradition of great 3-D action jumping games, Crash Bandicoot is probably the PlayStation equivalent of the groundbreaking Nintendo 64 title Super Mario 64. Now repackaged as one of PlayStation's Greatest Hits, this top-selling game takes you away on a tropical island adventure that is filled with precarious enemies and challenging levels. Our spiky-haired hero Crash needs no weapons to survive the harsh jungle. Instead, he jumps, jogs, and spins his way through numerous lush and downright fun environments./ With 26 levels spanned across three tropical islands, Crash Bandicoot is sure to amuse old gamers as well as new. Crash must rescue his girlfriend, Tawna, from the evil clutches of Dr. Cortex. Along the way, he can gather fruit for extra lives, smash boxes for random prizes, and gather tokens that can be used for bonus rounds. Numerous big bosses block your path, which also includes more than a few risky jumps that require split-second timing. Crash Bandicoot's impressive graphics and strong gameplay have already won over many hard-core and casual gamers. While this PlayStation classic has already spawned two successful sequels, the original version remains a worthy purchase--particularly at the sub-$20 price. --Kasty Thomas/ Pros:/  &#x2022; Sub-$20 price/  &#x2022; Hidden bonus levels/ Cons:/  &#x2022; None/ 		Sony Computer Entertainment	27-03-2000		07-07-2005										PlayStation			Everyone	
game							0040421891184	B00002STPK	us	Descent	Descent						Sci-Fi/ Mechanized Action/ Shooter		$4.91		4.5			Acclaim			07-07-2005										PlayStation			Teen	
