medium	associatedURL	boxHeightInInches	boxLengthInInches	boxWeightInPounds	boxWidthInInches	scannednumber	upc	asin	country	title	fullTitle	series	numberInSeries	edition	aspect	mediacount	genre	price	currentValue	language	netrating	description	owner	publisher	published	rare	purchaseDate	rating	used	signed	hasExperienced	notes	location	paid	condition	notowned	author	illustrator	pages
book							9781560763581	1560763582	us	AD&D [2nd]: Al-Qadim: Arabian Adventures	Al-Qadim: Arabian Adventures (Advanced Dungeons & Dragons, No. 2126)	Advanced Dungeons & Dragons	2126		Paperback			$18.00	$6.54		4.5			Wizards of the Coast	04-01-1992		15-01-2007										Jeff Grubb/ Andria Hayday		
book							9781560766728	1560766727	us	AD&D [2nd]: Book of Artifacts	Book of Artifacts (Advanced Dungeons & Dragons//Rulebook)				Hardcover		Fantasy/ Science Fiction	$20.00	$2.00		4			Wizards of the Coast	10-01-1993		15-01-2007										David "Zeb" Cook		210
book										AD&D [2nd]: Castles														TSR			15-01-2007												
book							9781560761044	1560761040	us	AD&D [2nd]: Dark Sun	Dark Sun: Campaign Setting (2nd Edition)			2nd	Hardcover			$20.00	$9.95		5			TSR	10-01-1991		15-01-2007										Tim Brown		
book							9781560762485	1560762489	us	AD&D [2nd]: Dark Sun: Road to Urik	Road to Urik (Dsq1, Dark Sun Game): Advanced Dungeons & Dragons Official Game Adventure				Paperback			$12.95	$2.85					Wizards of the Coast	04-01-1992		15-01-2007										David Cook		210
book										AD&D [2nd]: dungeons of mystery														TSR			15-01-2007												
book							9781560763680	156076368X	us	AD&D [2nd]: Dungeons of Mystery	Dungeons of Mystery (Advanced Dungeons & Dragons, 2nd Edition, Gr2, 9365)	Advanced Dungeons & Dragons, Gr2	9365	2nd	Hardcover			$18.00	$7.00		4			TSR	09-01-1992		15-01-2007										Tim Beach/ Dennis Kauth		
book							9780880387446	0880387440	us	AD&D [2nd]: Forgotten Realms: Cities of Mystery	Cities of Mystery//Fr8 (Advanced Dungeons and Dragons Forgotten Realms Official Game Accessory)				Hardcover			$18.00	$25.52		4			TSR	08-01-1989		15-01-2007										Jean Rabe		210
book							9780880388283	0880388285	us	AD&D [2nd]: Forgotten Realms: Forgotten Realms Adventures	Forgotten Realms Adventures (Advanced Dungeons and Dragons Hardcover Accessory Rulebook)				Hardcover			$20.00	$1.98		5			Wizards of the Coast	04-01-1990		15-01-2007										Jeff Grubb		210
book							9781560766179	1560766174	us	AD&D [2nd]: Forgotten Realms: Forgotten Realms Campaign [box]	FORGOTTEN REALMS CAMPGN (Advanced Dungeons & Dragons, 2nd Edition)			2nd	Hardcover	3	Fantasy/ Science Fiction	$30.00	$10.83		4.5			Wizards of the Coast	29-06-1993		15-01-2007										Jeff Grubb		64
book							9781560766445	1560766441	us	AD&D [2nd]: Forgotten Realms: The Code of the Harpers	The Code of the Harpers (AD&D//Forgotten Realms) (Advanced Dungeons & Dragons, 2nd Edition)			2nd	Paperback			$15.00	$17.99		4.5			Wizards of the Coast	09-01-1993		15-01-2007										Ed Greenwood		210
book							9781560761327	1560761326	us	AD&D [2nd]: Forgotten Realms: The Drow of the Underdark	The Drow of the Underdark (Advanced Dungeons and Dragons : Forgotten Realms Accessory)				Paperback			$19.95	$9.92		5			TSR	07-01-1991		15-01-2007										Ed Greenwood		128
book							9781560768296	1560768290	us	AD&D [2nd]: Forgotten Realms: The Elves of Evermeet	The Elves of Evermeet (AD&D//Forgotten Realms)				Paperback		Fantasy/ Science Fiction	$15.00	$3.89		4			TSR	03-01-1994		15-01-2007												210
book							9780880388573	0880388579	us	AD&D [2nd]: Forgotten Realms: The Forgotten Realms Atlas	The Forgotten Realms Atlas				Paperback			$15.95	$21.95		5			Wizards of the Coast	08-01-1990		15-01-2007										Karen Wynn Fonstad		210
book							9780880388306	0880388307	us	AD&D [2nd]: Greyhawk: Falcon's Revenge	Falcon's Revenge (AD&D//Greyhawk Module WGA1)				Paperback			$32.00	$38.95		3			TSR	05-01-1990		15-01-2007										Richard W. Brown/ Anne Brown		210
book							9780880388528	0880388528	us	AD&D [2nd]: Greyhawk: Falconmaster	Falconmaster (Advanced Dungeons and Dragons//Greyhawk Module WGA2)				Paperback			$8.95	$11.95		3.5			TSR	08-01-1990		15-01-2007										Anne Brown		210
book							9780880386494	0880386495	us	AD&D [2nd]: Greyhawk: Greyhawk Adventures	Greyhawk Adventures (Advanced Dungeons & Dragons Rulebook)				Hardcover			$15.00	$3.10		4.5			Wizards of the Coast	08-01-1988		15-01-2007										James M. Ward		128
book							9780880388603	0880388609	us	AD&D [2nd]: Greyhawk: Greyhawk Ruins	Greyhawk Ruins (Advanced Dungeons & Dragons module WGR1)				Paperback			$15.00	$60.00		3.5			TSR	08-01-1990		15-01-2007										Blake Mobley/ Timothy B. Brown		210
book							9780880387316	0880387319	us	AD&D [2nd]: Greyhawk: The City of Greyhawk [box]	The City of Greyhawk (Advanced Dungeons and Dragons: Greyhawk Adventures)				Paperback/ Box set		Entertainment	$18.00	$29.95		5			TSR	08-01-1989		15-01-2007										Douglas Niles/ Mike Breault/ Kim Mohan		210
book							9780880383448	0880383445	us	AD&D [2nd]: Greyhawk: World of Greyhawk[Box]	World of Greyhawk (Advanced Dungeons & Dragons Boxed Set)				Hardcover		Science Fiction & Fantasy	$15.00	$49.99		4.5			Wizards of the Coast	03-01-1984		15-01-2007										Gary Gygax		
book							9780880388900	0880388900	us	AD&D [2nd]: Lankhmar: Slayers of Lankhmar	Nehwon (Advanced Dungeons & Dragons//Lankhmar Module LNA2)				Paperback		Science Fiction	$9.95	$5.45					TSR	12-01-1990		15-01-2007										Blake Mobley		210
book							9780880382359	088038235X	us	AD&D [2nd]: Lankhmar: Swords of the Undercity	Swords of the Undercity (Advanced Dungeons & Dragons//Lankhmar Module CA1)				Paperback			$6.00	$5.00					Wizards of the Coast	01-01-1986		15-01-2007												
book							9781560761358	1560761350	us	AD&D [2nd]: Lankhmar: Tales of Lankhmar	Tales of Lankhmar (Lnr2, Advanced Dungeons and Dragons Accessory)				Paperback			$9.95	$12.95					Wizards of the Coast	07-01-1991		15-01-2007										Anthony Pryor		210
book								B000LPNORU	us	AD&D [2nd]: Monstrous Compendium Volumes One and Two	Monstrous Compendium Volumes One and Two				Ring-bound									TSR	16-01-1989		16-01-2007										n//a		
book							9781560766193	1560766190	us	AD&D [2nd]: Monstrous Manual	Monstrous Manual (Advanced Dungeons and Dragons, 2nd Edition, Accessory//2140) (Advanced Dungeons and Dragons, 2nd Edition)			2nd	Hardcover			$29.95	$9.00		4.5			TSR	06-01-1993		15-01-2007												384
book							9780880387163	0880387165	us	AD&D [2nd]: Player's Handbook	Player's Handbook (Advanced Dungeons & Dragons, 2nd Edition, Core Rulebook//2101)			2nd	Hardcover			$20.00	$11.80		4.5			TSR	03-01-1989		15-01-2007										David "Zeb" Cook		255
book							9781560763604	1560763604	us	AD&D [2nd]: The Complete Bard's Handbook	The Complete Bard's Handbook (Advanced Dungeons & Dragons, 2nd Edition, Player's Handbook Rules Supplement//PHBR7)			2nd	Paperback		Fantasy/ Science Fiction	$20.00	$1.25		4.5			Wizards of the Coast	14-04-1992		15-01-2007										Blake Mobley		127
book							9781560763765	1560763760	us	AD&D [2nd]: The Complete Book of Elves	The Complete Book of Elves (Advanced Dungeons & Dragons, 2nd Edition, Player's Handbook Rules Supplement//PHBR8)			2nd	Paperback		Action & Adventure	$19.95	$5.50		4.5			Wizards of the Coast	04-01-1993		15-01-2007										Colin McComb		128
book								B000IWTMFO	us	AD&D [2nd]: The Complete Fighter's Handbook	The Complete Fighter's Handbook, Phbr1 - Advanced Dungeons & Dragons, 2nd Ed., Player's Handbook Rules Supplement, Tsr 2110				Paperback									TSR, Inc.	15-01-1993		15-01-2007										Aaron; Tsr, Inc. Allston		
book							9781560760542	1560760540	us	AD&D [2nd]: The Complete Psionics Handbook	The Complete Psionics Handbook: Player's Handbook Rules Supplement, Dungeons & Dragons (2nd Edition)			2nd	Paperback		Fantasy/ Science Fiction	$20.00	$0.83		4			Wizards of the Coast	20-02-1991		15-01-2007										Steve Winter		128
book							9781560766346	1560766344	us	AD&D [2nd]: The Complete Ranger's Handbook	The Complete Ranger's Handbook (Advanced Dungeons & Dragons, 2nd Edition, Player's Handbook Rules Supplement//PHBR11)			2nd	Paperback		Fantasy/ Science Fiction	$18.00	$4.98		4			Wizards of the Coast	28-12-1993		15-01-2007										Rick Swan		127
book							9780880387804	0880387807	us	AD&D [2nd]: The Complete Thief's Handbook	The Complete Thief's Handbook (Advanced Dungeons & Dragons, 2nd Edition, Player's Handbook Rules Supplement//PHBR2)			2nd	Paperback		Fantasy/ Science Fiction	$20.00	$3.00		4.5			Wizards of the Coast	27-01-1990		15-01-2007										Douglas Niles		210
book							9780880388382	0880388382	us	AD&D [2nd]: The Complete Wizard's Handbook	The Complete Wizard's Handbook, Second Edition (Advanced Dungeons & Dragons: Player's Handbook Rules Supplement//PHBR4				Hardcover		Wicca/ Witchcraft/ New Age/ Magic/ Alchemy	$19.95	$2.49		4			Wizards of the Coast	04-08-1990		15-01-2007										Inc. TSR		127
book							9780880387293	0880387297	us	AD&D [2nd]: The Dungeon Master's Guide	The Dungeon Master's Guide (Advanced Dungeon and Dragons 2nd Edition Hardcover Rulebook)			Advanced Dungeon and Dragons 2nd	Hardcover			$18.00	$1.39		4.5			TSR	06-01-1989		15-01-2007										TSR Staff/ David Cook		192
book							9780880387736	0880387734	us	AD&D [2nd]: Time of the Dragon	Time of the Dragon (Advanced Dungeons and Dragons Dragonlance, Boxed Set)				Hardcover/ Box set		Fantasy/ Entertainment/ Science Fiction & Fantasy	$18.00	$0.94		2			Wizards of the Coast	12-01-1989		15-01-2007										David "Zeb" Cook		210
book							9781560761075	1560761075	us	AD&D [2nd]: TOME OF MAGIC	TOME OF MAGIC (Advanced Dungeon and Dragons//2nd Edition : Accessory Rule Book)			Advanced Dungeon and Dragons//2nd	Paperback		Knitting	$20.00	$2.25		4			TSR	18-06-1991		15-01-2007										David Cook		159
book								B0006AR5F2	us	Adventure in jade	Adventure in jade				Unknown Binding				$3.02					H. Holt and company	10-02-1947		10-02-2007										James Lewis Kraft		81
book							9780553210798	0553210793	us	The Adventures of Huckleberry Finn (Bantam Classics)	The Adventures of Huckleberry Finn (Bantam Classics)				Mass Market Paperback		Action & Adventure/ United States/ Movie Tie-Ins/ 19th Century/ Classics/ Contemporary/ Literary/ Historical/ British/ Children's Literature Guides/ Book Notes/ Readers/ Adventure & Thrillers/ Adult & Continuing Education/ Fiction/ Paperback/ English for Children/ Reading/ Collections & Readers/ Study Guides/ Literary Criticism & Collections/ Humanities	$4.95	$0.53		4	A seminal work of American Literature that still commands deep praise and still elicits controversy, Adventures of Huckleberry Finn is essential to the understanding of the American soul. The recent discovery of the first half of Twain's manuscript, long thought lost, made front-page news. And this unprecedented edition, which contains for the first time omitted episodes and other variations present in the first half of the handwritten manuscript, as well as facsimile reproductions of thirty manuscript pages, is indispensable to a full understanding of the novel. The changes, deletions, and additions made in the first half of the manuscript indicate that Mark Twain frequently checked his impulse to write an even darker, more confrontational book than the one he finally published.		Bantam Classics	01-02-1981		17-01-2007										Mark Twain		320
book							9781416516972	1416516972	us	Aeon Flux: The Herodotus File	Aeon Flux: The Herodotus File				Paperback		Movie Tie-Ins/ Contemporary/ Performing Arts	$14.95	$0.54		4	THE SECRET HISTORY OF AEON FLUX/ / / Spy &#x2022; Assassin &#x2022; Seductress/ / / Her instincts: honed for survival. Her psyche: primed for anarchy. Her body: sculpted for action. She's Aeon Flux, a lethal, leather-clad spy who cuts through a brutal swath of subterfuge through Bregna, a hi-tech society controlled by her nemesis, Trevor Goodchild. But Trevor's and Aeon's bond is deeper than that of assassin to tyrant, and the mystery that drives their twisted relationship has remained as impenetrable as Aeon's padlocked chastity belt -- until now./ / THE HERODOTUS FILE/ / / This explosive file of classified intelligence reveals Trevor Goodchild's chilling plan to consolidate power by erasing history -- and the hiring of mercenary agent, Aeon Flux, to transform his plan into an Orwellian reality. Crammed with transcripts, surveillance, and memos, the file explores the dark corridors of Aeon's mysterious life, bringing into question her ultimate allegiance. Is Aeon truly loyal to Trevor's vision of Bregna? Or is she stealthily subverting his plot from the inside out? This stunning file tells a story of intrigue and treachery, of domination and submission, of love and hate so perverse, it could only spring from the otherworld of Aeon Flux./ / The television series, Aeon Flux, is a Colossal Pictures Production in association with MTV Networks./ / / 		MTV	29-11-2005		19-01-2007										Mark Mars/ Eric Singer		96
book								B000HOO0UU	us	African Design	African Design				Hardcover				$20.00					Frederick A. Praeger	17-01-1967		17-01-2007										Margaret Trowell		78
book							9780156029087	0156029081	us	AIA Guide to Chicago	AIA Guide to Chicago				Paperback		Criticism/ United States/ Reference/ Guidebooks/ Chicago/ Illinois	$30.00	$11.65		4	Completely revised and updated, AIA Guide to Chicago, Second Edition is the liveliest and most wide-ranging guide ever written about Chicago's architecture. More than a thousand individual buildings are featured, along with more than four hundred photos-many taken expressly for this volume-and thirty-five specially commissioned maps. The book is arranged geographically so that the user, whether Chicago citizen or visitor, can tour each area of the city as conveniently as possible. Building descriptions focus on the illuminating-but easily overlooked-details that give the behind-the-scenes, often unexpected story of why a building took the shape it did. And in the best Chicago tradition, this guide does not shy away from opinions where opinions are called for. / / Comprehensively researched, meticulously written, and more than thorough. / / 		Harvest Books	2004-04-12 12:00:00 +0000		2007-02-11 01:50:57 -0500										Alice Sinkevitch		592
book							9780971349520	0971349525	us	The AJM Guide to Lost-Wax Casting	The AJM Guide to Lost-Wax Casting				Paperback			$33.95			1	For more than 40 years, AJM Magazine has earned its reputation as the Authority on Jewelry Manufacturing, and this book shows why. The AJM Guide to Lost-Wax Casting offers an abundance of best practices, handy tips, and troubleshooting techniques from the industry's leading experts. From creating trouble-free master models to building uniform trees to proper techniques for investing, burnout, and breakout, this books presents how to achieve consistently smooth, porosity-free castings. Also included are guides to stone-in-place casting; casting over 500 grams of platinum on one tree; and casting nickel-free white golds. A special Resource Section lists select suppliers of casting-related products.		MJSA//AJM Press	2003-02-11 12:00:00 +0000		2007-02-11 00:29:46 -0500										Contributors of AJM Magazine		116
book							9780679726807	0679726802	us	Akbar and Jeff's Guide to Life	Akbar and Jeff's Guide to Life				Paperback		Comics & Graphic Novels	$7.95	$0.01		4	A peek at Akbar & Jeff's private lives--are they or aren't they? (And what's up with Ernie and Bert?)		Pantheon	21-10-1989		19-01-2007										Matt Groening		
book							9780768321760	076832176X	us	Alice and Her Fabulous Teeth	Alice and Her Fabulous Teeth				Hardcover		Action & Adventure/ Humorous/ Picture Books	$12.95	$0.64		5			Cedco Publishing Company	06-01-1999		19-01-2007										Catherine Myler Fruisen/ Robin MacOnie		32
book							9780375761386	0375761381	us	Alice's Adventures in Wonderland and Through the Looking-Glass	Alice's Adventures in Wonderland and Through the Looking-Glass (Modern Library Classics)				Paperback		Classics/ Contemporary	$8.95	$1.72		4	Conceived by a shy British don on a golden afternoon to entertain ten-year-old Alice Liddell and her sisters, Alice&#x2019;s Adventures in Wonderland and Through the Looking-Glass have delighted generations of readers in more than eighty languages. &#x201c;The clue to the enduring fascination and greatness of the Alice books,&#x201d; writes A. S. Byatt in her Introduction, &#x201c;lies in language. . . . It is play, and word-play, and its endless intriguing puzzles continue to reveal themselves long after we have ceased to be children.&#x201d;		Modern Library	10-12-2002		17-01-2007										Lewis Carroll		304
book							9780752201290	0752201298	us	Aliens Apocalypse: The Role Playing Game	Aliens Apocalypse: The Role Playing Game				Paperback		Role Playing & Fantasy							Pan Macmillan	25-11-1996		15-01-2007										Gareth Martin/ Lee Brimmicombe-Wood		
book							9780843137613	0843137614	us	All Mixed Up	All Mixed Up				Paperback			$9.95	$1.95					Price Stern Sloan	28-09-1994		18-01-2007										Kees Moerbeek		1
book							9780486219059	0486219054	us	Alphabets and Ornaments (Picture Archives)	Alphabets and Ornaments (Picture Archives)				Paperback		Art History/ Calligraphy/ Clip Art/ Decorative	$12.95	$1.79			750 items, 14th through 19th century: alphabets, scripts, cartouches, title pages, ornamentation./ 		Dover Publications	1968-06-01 12:00:00 +0000		2007-02-11 01:29:46 -0500										Ernest Lehner		256
book							9780517541890	0517541890	us	Alphonse Mucha: The Complete Graphic Works	Alphonse Mucha: The Graphic Wor				Hardcover		Illustration/ Printmaking	$14.99	$17.50		5			Random House Value Publishing	30-10-1987		05-02-2007										Ann Bridges		192
book								B000LTUX02	us	Americal the Beautiful in the Words of Walt Whitman	Americal the Beautiful in the Words of Walt Whitman				Hardcover				$5.00					Country Beautiful Corporatio 1970.	17-01-1970		17-01-2007										Country Beautiful (by the Editors)		
book							9781572153691	1572153695	us	American Art Deco	American Art Deco				Hardcover				$2.72					World Publications Group	2004-02-11 12:00:00 -0500		2007-02-11 01:23:16 -0500										Eva Weber		
book							9780380973651	0380973650	us	American Gods: A Novel	American Gods: A Novel				Hardcover		Science Fiction, Fantasy, & Magic/ United States/ Contemporary/ Literary/ Epic/ Popular Fiction	$26.00	$4.45		4	American Gods is Neil Gaiman's best and most ambitious novel yet, a scary, strange, and hallucinogenic road-trip story wrapped around a deep examination of the American spirit. Gaiman tackles everything from the onslaught of the information age to the meaning of death, but he doesn't sacrifice the razor-sharp plotting and narrative style he's been delivering since his Sandman days./ Shadow gets out of prison early when his wife is killed in a car crash. At a loss, he takes up with a mysterious character called Wednesday, who is much more than he appears. In fact, Wednesday is an old god, once known as Odin the All-father, who is roaming America rounding up his forgotten fellows in preparation for an epic battle against the upstart deities of the Internet, credit cards, television, and all that is wired. Shadow agrees to help Wednesday, and they whirl through a psycho-spiritual storm that becomes all too real in its manifestations. For instance, Shadow's dead wife Laura keeps showing up, and not just as a ghost--the difficulty of their continuing relationship is by turns grim and darkly funny, just like the rest of the book./ Armed only with some coin tricks and a sense of purpose, Shadow travels through, around, and underneath the visible surface of things, digging up all the powerful myths Americans brought with them in their journeys to this land as well as the ones that were already here. Shadow's road story is the heart of the novel, and it's here that Gaiman offers up the details that make this such a cinematic book--the distinctly American foods and diversions, the bizarre roadside attractions, the decrepit gods reduced to shell games and prostitution. "This is a bad land for Gods," says Shadow./ More than a tourist in America, but not a native, Neil Gaiman offers an outside-in and inside-out perspective on the soul and spirituality of the country--our obsessions with money and power, our jumbled religious heritage and its societal outcomes, and the millennial decisions we face about what's real and what's not. --Therese Littleton/ 		William Morrow	01-07-2001		17-01-2007										Neil Gaiman		480
book								B000CS74S6	us	American Painting Today: A Cross Section of Our Contemporary Art	American Painting Today: A Cross Section of Our Contemporary Art				Hardcover				$13.54			155 Selections by 14 Museum Directors		Hastings House	1956-02-11 12:00:00 -0500		2007-02-11 01:01:31 -0500										Nathaniel; Editor Pousette-Dart		
book							9780813522357	0813522358	us	American Plastic: A Cultural History	American Plastic: A Cultural History				Paperback		Social Theory/ History of Science/ History of Technology/ Polymer Chemistry/ Culture/ Plastics/ Qualifying Textbooks - Winter 2007	$24.00	$17.00		4.5			Rutgers University Press	11-01-1997		20-01-2007										Jeffrey L. Meikle		403
book							9780679735779	0679735771	us	American Psycho	American Psycho				Paperback		United States/ Contemporary/ Suspense/ Foreign Languages	$14.95	$3.99		3.5	Now a major motion picture from Lion's Gate Films starring Christian Bale (Metroland), Chloe Sevigny (The Last Days of Disco), Jared Leto (My So Called Life), and Reese Witherspoon (Cruel Intentions), and directed by Mary Harron (I Shot Andy Warhol)./ / In American Psycho, Bret Easton Ellis imaginatively explores the incomprehensible depths of madness and captures the insanity of violence in our time or any other. Patrick Bateman moves among the young and trendy in 1980s Manhattan. Young, handsome, and well educated, bateman earns his fortune on Wall Street by day while spending his nights in ways we cannot begin to fathom. Expressing his true self through torture and murder, Bateman prefigures an apocalyptic horror that no society could bear to confront.		Vintage	06-03-1991		16-01-2007										Bret Easton Ellis		416
book							9780330319928	0330319922	us	American Psycho	American Psycho				Paperback		Contemporary/ Action & Adventure	$16.50	$8.99		3.5			Picador	26-04-1991		17-01-2007										Bret Easton Ellis		399
book								B000JC230E	us	The Ancient World Of Asia	The Ancient World Of Asia				Hardcover				$23.38					G P Putnams Sons	20-01-1961		20-01-2007										Diez		
book								B000KK28AK	us	Animal Stories We Can Read	Animal Stories We Can Read				Hardcover				$5.00					Rand McNally & Company	18-01-1957		18-01-2007										Flora L., Illustrated By Dorothy Grider Carpenter		
book							9780810918689	0810918684	us	Animalia	Animalia				Hardcover		Alphabet/ Words/ Literature/ Coloring Books/ Picture Books/ Fiction	$18.95	$3.20		4.5	What's this elaborate illustration? "Horrible Hairy Hogs Hurrying Homewards on Heavily Harnessed Horses," of course. Graeme Base's astonishingly creative oeuvre begins with Animalia, the 1993 alphabet book that challenges the standard idea of how long reading a book for small kids ought to take. Animalia, like many of Base's books, is a vast puzzle, built with entrancing pictures that unfold into layers and layers of objects--all matched to each page's corresponding letter. Base leaves us stunned and amazed, painting reflections into the oddest surfaces and driving the urge to page-turn. This wonderful picture book works for 2-year-olds, 5-year-olds, and adults alike--something few other alphabet books can manage. --Andrew Bartlett		Harry N. Abrams	15-09-1987		19-01-2007										Graeme Base		32
