medium	associatedURL	boxHeightInInches	boxLengthInInches	boxWeightInPounds	boxWidthInInches	scannednumber	upc	asin	country	title	fullTitle	series	numberInSeries	edition	aspect	mediacount	genre	price	currentValue	language	netrating	description	owner	publisher	published	rare	purchaseDate	rating	used	signed	hasExperienced	notes	location	paid	condition	notowned	director	stars	features	mpaarating	theatricalDate	minutes
movie							0043396076013	B00005JLRE		Adaptation (Superbit Collection)					DVD		Feature Film-comedy	$19.94	$14.99		3.59			Columbia Tri-Star	20-08-2003		20-02-2005										Spike Jonze	Nicolas Cage/ Meryl Streep/ Chris Cooper	DTS Surround Sound/ Color/ Widescreen/ Dolby	R	10-01-2003	
movie							0027616862785	B00005JKEX		The Adventures of Buckaroo Banzai Across the 8th Dimension				Special	DVD		Feature Film-action//Adventure	$14.95	$12.74		4.31			MGM//UA Video	08-06-2004		16-01-2005										W.D. Richter	Peter Weller/ John Lithgow/ Ellen Barkin	Color/ Closed-captioned/ Widescreen/ Dolby	PG	15-08-1984	
movie							0085391904120	B00003CXWS		The Adventures of Pluto Nash					DVD		Feature Film-comedy	$14.97	$3.50		3.18			Warner Home Video	01-06-2004		17-04-2005										Ron Underwood	Eddie Murphy/ Jay Mohr	Color/ Closed-captioned/ Widescreen/ Dolby	PG-13	16-08-2002	
movie							0097363337348	B000EOTAM6	us	Aeon Flux	Aeon Flux (Widescreen Special Collector's Edition)			Special Collector's	DVD		Sci-Fi Action/ Futuristic/ Special Editions	$29.95	$9.99		3	Like the animated series it's based on, Aeon Flux is the kind of sci-fi that's best appreciated by the MTV generation. It's a serious attempt at stylized, futuristic action//adventure (the title character, played by Charlize Theron, is essentially a female James Bond for the cyberpunk era) and taken for what it is, it's not all that bad. The action takes place in the year 2415, four centuries after a virus nearly decimated the human race, leaving only five million survivors in a utopian city called Bregna. Aeon belongs to the Monicans, a secret rebel resistance force that is struggling to destroy the Goodchild regime led by its namesake, Trevor Goodchild (Martin Csokas), the ruler of Bregna and a descendant of the man who found a cure for the deadly virus. As instructed by the Handler (Frances McDormand, gamely playing along in ridiculous sci-fi regalia), Aeon is assigned to assassinate Goodchild, but there are deeper secrets to be discovered, and conspiracies to be foiled. This leads director Karyn Kusama (who fared much better with her debut feature Girlfight) to indulge in all sorts of routine action and fast-paced gunplay, but the elusive pleasures of Aeon Flux are mostly found in the sleek athleticism of Theron and costar Sophie Okonedo (as a fellow Monican), who commit themselves 100% to roles that are dramatically flat yet physically dynamic. Other highlights include Aeon's high-tech gadgetry (including an eyeball that doubles as a microsocope) and the amusing sight of Pete Postlethwaite in a costume resembling a construction-site disposal tube, but Flux fans may wonder what happened to the surreal, chromium sheen future that gave the MTV series its visionary appeal. As a live-action feature, Aeon Flux is a miscalculated exercise in cheesy style and dour tone, but it's entertaining enough to earn a small cadre of admirers. --Jeff Shannon		Paramount Home Video	08-08-2006		30-07-2006										Karyn Kusama	Charlize Theron/ Marton Csokas/ Jonny Lee Miller/ Sophie Okonedo/ Frances McDormand/ Pete Postlethwaite/ Amelia Warner/ Caroline Chikezie/ Nikolai Kinski/ Paterson Joseph/ Yangzom Brauen/ Aoibheann O'Hara/ Thomas Huber/ Weijian Liu/ Maverick Queck/ Ralph Herforth/ Megan Gay/ Rainer Will/ Charlie Beall/ Bruno Bruni Jr.	Color/ Widescreen/ NTSC	PG-13	02-12-2005	
movie							0024543019459	B00005NGAY		Airheads					DVD		Feature Film-comedy	$9.98	$9.99		4.17			Twentieth Century Fox	03-02-2004		20-02-2005										Michael Lehmann	Brendan Fraser/ Steve Buscemi/ Adam Sandler	Color/ Closed-captioned/ Dolby/ Widescreen	PG-13	05-08-1994	
movie							0013023214590	B00012QLQ4	us	Akira (Geneon Signature Series)	Akira (Geneon Signature Series)				DVD		Geneon/ Animation/ After the Apocalypse/ Experiments Gone Wrong/ Futuristic/ Geneon Signature Series/ Science Fiction & Fantasy	$19.98	$7.44		4	Artist-writer Katsuhiro &#x00d4;tomo began telling the story of Akira as a comic book series in 1982 but took a break from 1986 to 1988 to write, direct, supervise, and design this animated film version. Set in 2019, the film richly imagines the new metropolis of Neo-Tokyo, which is designed from huge buildings down to the smallest details of passing vehicles or police uniforms. Two disaffected orphan teenagers--slight, resentful Tetsuo and confident, breezy Kaneda--run with a biker gang, but trouble grows when Tetsuo start to resent the way Kaneda always has to rescue him. Meanwhile, a group of scientists, military men, and politicians wonder what to do with a collection of withered children who possess enormous psychic powers, especially the mysterious, rarely seen Akira, whose awakening might well have caused the end of the old world. Tetsuo is visited by the children, who trigger the growth of psychic and physical powers that might make him a superman or a supermonster. As befits a distillation of 1,318 pages of the story so far, Akira is overstuffed with character, incident, and detail. However, it piles up astonishing set pieces: the chases and shootouts (amazingly kinetic, amazingly bloody) benefit from minute cartoon detail that extends to the surprised or shocked faces of the tiniest extra; the Tetsuo monster alternately looks like a billion-gallon scrotal sac or a Tex Avery mutation of the monster from The Quatermass Experiment; and the finale--which combines flashbacks to more innocent days with a destruction of Neo City and the creation of a new universe--is one of the most mind-bending in all sci-fi cinema. --Kim Newman		Geneon [Pioneer]	06-01-2004		30-07-2006										Katsuhiro &#x00d4;tomo	Mitsuo Iwata/ Nozomu Sasaki/ Mami Koyama/ Tessh&#x00f4; Genda/ Hiroshi &#x00d4;take/ K&#x00f4;ichi Kitamura/ Michihiro Ikemizu/ Yuriko Fuchizaki/ Masaaki &#x00d4;kura/ Tar&#x00f4; Arakawa/ Takeshi Kusao/ Kazumi Tanaka/ Masayuki Kat&#x00f4;/ Y&#x00f4;suke Akimoto/ Masato Hirano/ Yukimasa Kishino/ Kazuhiro Kamifuji/ Tatsuhiko Nakamura/ Fukue It&#x00f4;/ Issei Futamata	Anamorphic/ Animated/ Color/ Subtitled/ THX/ NTSC/ 1.78:1	R	24-07-2001	
movie							0786936223996	B0001I561E		Aladdin (Disney Special Platinum Edition)					DVD		Feature Film Family	$29.99	$21.95		4.65			Walt Disney Home Entertainment	05-10-2004		20-02-2005										Ron Clements/ John Musker	Scott Weinger/ Robin Williams/ Linda Larkin/ Jonathan Freeman	Color/ Widescreen/ Dolby	G	20-02-2004	
movie							0667068781823	B00003CXMG	us	Almost Famous	Almost Famous				DVD		DTS/ DreamWorks/ Drama	$12.98	$5.15		4.5	Almost Famous is the movie Cameron Crowe has been waiting a lifetime to tell. The fictionalization of Crowe's days as a teenage reporter for Creem and Rolling Stone has all the well-written characters and wonderful "movie moments" that we expect from Crowe (Jerry Maguire), but the film has an intangible something extra--an insider's touch that will turn the film into the ode to '70s rock & roll for years to come. We are introduced to Crowe's alter ego, William Miller (Patrick Fugit), at home, where his progressive mom (Frances McDormand, just superb) has outlawed rock music and sister Anita (Zooey Deschanel) has slipped him LPs that will "set his mind free." Following the wisdom of Creem's disheveled editor, Lester Bangs (Philip Seymour Hoffman in an instant-classic performance), Miller gets on the inside with the up-and-coming band Stillwater (a fictionalized mixture of the Allman Brothers, Led Zeppelin, and others). A simple visit with the band turns into a three-week, life-altering odyssey into the heyday of American rock. Of the characters he meets on the road, the two most important are groupie extraordinaire Penny Lane (Kate Hudson in a star-making performance) and Stillwater's enigmatic lead guitarist (Billy Crudup), who keeps stringing Miller along for an interview. From the handwritten credits (done by Crowe) to the bittersweet finale, Crowe's comedic valentine is an indelible, heartbreaking romance of music, women, and the privilege of youth. --Doug Thomas		Dreamworks Skg	13-03-2001		15-10-2005										Cameron Crowe	Billy Crudup	Color/ Closed-captioned/ DTS Surround Sound/ Widescreen/ 1.85:1	Unrated	13-09-2000	
movie							0085391107620	6305133131		Altered States					DVD		Feature Film-drama	$9.97	$5.98		3.59	It's easy to understand why the late, great screenwriter Paddy Chayefsky removed his name from the credits of Altered States and substituted the pseudonym Sidney Aaron. After all, Chayefsky was a revered dramatist whose original source novel was intended as a serious exploration of altered consciousness, inspired by the immersion-tank experiments of Dr. John Lilly in the 1970s. In the hands of maverick director Ken Russell, however, Altered States became a full-on sensory assault, using symbolic imagery and mind- blowing special effects to depict one man's physical and hallucinatory journey through the entire history of human evolution. It's a brazenly silly film redeemed by its intellectual ambition--a dazzling extravaganza that's in love with science and scientists, and eagerly willing to dive off the precipice of rationality to explore uncharted regions of mind, body, and spirit. William Hurt made his bold film debut as the psycho-physiologist who plays guinea pig to his own experiments; Blair Brown plays his equally brilliant wife, whose devotion is just strong enough to bring him back from the most altered state imaginable. From the eternal channels of sense memory to the restorative power of a loving embrace, this movie rocks you to the birth of the universe and back again. And while it's clearly not the story that Chayefsky wanted on the screen, the directorial audacity of Ken Russell makes it one heck of a memorable trip. --Jeff Shannon 		Warner Studios	01-06-2004		20-02-2005										Ken Russell	William Hurt	Color/ Closed-captioned/ Widescreen/ Dolby	R	25-12-1980	
movie							0667068647730	B00004U30D		American Beauty (The Awards Edition)					VHS Tape	2	Feature Film-drama	$9.99	$8.00		4.07			Universal Studios	24-10-2000		20-02-2005										Sam Mendes	Kevin Spacey/ Annette Bening	Color/ Closed-captioned/ Box set/ Special Edition/ NTSC	R	01-10-1999	
movie							0025192148927	B00005RHFC		American Pie 2				Special	DVD		Feature Film-comedy	$14.98	$12.73		3.94			Universal Studios	15-01-2002		20-02-2005										James B. Rogers (II)	Jason Biggs/ Seann William Scott	Color/ Closed-captioned/ Dolby/ DTS Surround Sound	Unrated	10-08-2001	
movie							0025192379925	B00005JMCT		American Wedding (Widescreen Extended Unrated Party Edition)					DVD		Feature Film-comedy	$19.98	$14.99		3.39			Universal Studios	02-01-2004		20-02-2005										Jesse Dylan	Jason Biggs/ Seann William Scott/ Alyson Hannigan/ Eugene Levy	Color/ Closed-captioned/ Widescreen/ Dolby	Unrated	01-08-2003	
movie							0027616852816	079284677X		The Amityville Horror					DVD		Horror	$14.95	$9.99		3.53			Mgm//Ua Studios	17-07-2001		20-02-2005										Stuart Rosenberg	James Brolin/ Margot Kidder	Color/ Closed-captioned/ Widescreen	R	27-07-1979	
movie							0678149167726	B00005JMYI		Anchorman - The Legend Of Ron Burgundy (Unrated Widescreen Edition)					DVD		Feature Film-comedy	$29.99			3.41			Universal Studios	28-12-2004		20-02-2005										Adam McKay	Will Ferrell/ Christina Applegate/ Steve Carell	Color/ Closed-captioned/ Widescreen/ Dolby	Unrated	09-07-2004	
movie							0085393731625	B00008LDPU	us	The Animatrix	The Animatrix				DVD		The Matrix	$14.98	$2.19		4	Matrix writer-directors Larry and Andy Wachowski commissioned seven artists from Japan, America and Korea to make nine short films set in the world of their feature trilogy. Some of the top anime directors contributed to this anthology, including Yoshiaki Kawajiri (Ninja Scroll), Koji Morimoto (Robot Carnival), and Shinchiro Watanabe (Cowboy Bebop). Some of the films tie directly into the narrative of the live-action movies. Drawn in a style reminiscent of Jean "Moebius" Giraud, Mahiro Maeda's The Second Renaissance (Part I & Part II) depicts the human-machine wars that caused the enslavement of humanity and the creation of the Matrix. The duel between two flamboyantly costumed Kabuki warriors in Kawajiri's Program is an expanded version of the cybernetic training Neo (Keanu Reeves) undergoes in the first Matrix film. Watanabe evokes the look of old newspaper photographs in A Detective Story, which falls outside the storyline of the features. Fast-paced, violent and grim, The Animatrix is an uneven but intriguing compilation that represents a new level in the ongoing cross-pollination between Japanese animation and American live action. (Not rated, suitable for ages 16 and older: considerable violence, violence against women, grotesque imagery, brief nudity, alcohol use) --Charles Solomon		Warner Home Video	03-06-2003		30-07-2006										Mahiro Maeda/ K&#x00f4;ji Morimoto/ Takeshi Koike	Clayton Watson/ Akio &#x00d4;tsuka/ Dwight Schultz/ Bette Ford/ Tom Kenny/ Carrie-Anne Moss/ Phil LaMarr/ Rodney Saulsberry/ Melinda Clarke/ James Arnold Taylor/ Matt McKenzie/ Terrence 'T.C.' Carson/ John Wesley/ Allison Smith/ Alex Fernandez/ Victor Williams/ Dane A. Davis/ Hedy Burress/ Julia Fletcher/ Jill Talley	Anamorphic/ Animated/ Closed-captioned/ Color/ Dolby/ Subtitled/ Widescreen/ NTSC	PG-13	03-06-2003	88
movie							0013023252899	B0007OY31Q	us	Appleseed (Limited Collector's Edition with Metal Case)	Appleseed (Limited Collector's Edition with Metal Case)			Limited Collector's	DVD		Sci-Fi Action/ Geneon/ Animation/ After the Apocalypse/ Robots & Androids/ Technology Run Amok/ Science Fiction & Fantasy	$29.98	$13.95		4	The 2004 Appleseed feature is a reworking of the earlier video based on the manga by Masamune Shirow (Ghost in the Shell). In 2131, most of humanity has withdrawn to the glittering city of Olympus after a devastating war. When the curvaceous Deunan Knute comes to Olympus, she encounters her former comrade Briareos, now a cyborg, and the lovely android Hitomi. The fate of Hitomi, Olympus, and humanity rest on the lost "Appleseed" technology that Deunan's mother helped to develop. A standard series of chases, mecha battles, and confrontations leads to a predictable ending. When the original Appleseedappeared in 1988, it felt like a summary of anime's past, while Akira pointed the way to the future. This new version feels like a mishmash of Ghost in the Shell, Akira, Jin-Roh, Evangelion, and other, more exciting works. The motion-capture CG is typically weightless, and the mecha look oddly squat. (Rated R: violence) --Charles Solomon		Geneon [Pioneer]	10-05-2005		30-07-2006										Shinji Aramaki	Ai Kobayashi/ J&#x00fb;r&#x00f4;ta Kosugi/ Yuki Matsuoka/ Asumi Miwa/ Akimoto Tsubasa/ Michael McConnohie/ Mike Reynolds/ Deborah Sale/ Jack Aubree/ Takehito Koyasu/ Cindy Robinson/ Yuzuru Fujimoto/ Bob Papenbrook/ Kirsty Pape/ Ry&#x00fb;ji Nakagi/ Kim Strauss/ Jamieson Price/ Mami Koyama/ Michael Forest/ William Knight (III)	Animated/ Color/ Dolby/ Widescreen/ NTSC/ 1.78:1	R	01-01-2004	
movie							0053939670820	B0000AQS81	us	Aqua Teen Hunger Force - Volume One	Aqua Teen Hunger Force - Volume One				DVD	2	Aqua Teen Hunger Force	$29.98	$16.30		4.5	Another cracked animated series from the Cartoon Network's "Adult Swim" programming block, Aqua Teen Hunger Force, Volume One's blend of superhero action and skewed humor should provide plenty of nourishment to fans of offbeat animation. The Aqua Teen Hunger Force are a squabbling trio of fast-food items (milkshake, fries, and a ball of hamburger meat) that have joined together to fight a host of monsters, aliens, and mad scientists in their native New Jersey. Fans of traditional cartoons may find the surreal plotlines and low-fi animation unmanageable, but viewers who enjoy other Adult Swim programming like Space Ghost Coast to Coast (series creators Chris Willis and Matt Maiellaro are veterans from that show) will find the Force's adventures side-splitting. The two-disc set, which features 16 episodes from the series' first two seasons, is supplemented by commentary by Willis and Maiellaro on three episodes, including an early version of "Rabbot." Disc 2 has a pair of Easter eggs that feature deleted scenes. --Paul Gaita		Warner Home Video	18-11-2003		15-10-2005										Dave Willis (III)/ Matt Maiellaro	Dave Willis (III)/ Carey Means/ Dana Snyder (II)	Animated/ Color/ Closed-captioned/ 1.33:1		30-12-2000	187
movie							0053939680928	B0002WZRSG	us	Aqua Teen Hunger Force - Volume Three	Aqua Teen Hunger Force - Volume Three				DVD	2	Television/ Aqua Teen Hunger Force	$29.98	$16.40		4.5	First of all, they're not teens. Secondly, there's not water involved. The whole Hunger Force thing? That's probably misleading, too. In short, if you have to ask what "Aqua Teen Hunger Force" is about, it is probably not a show for you. The rest of us will go on thrilling to the adventures of Frylock, Meatwad and Master Shake as they, you know... hang out.		Warner Home Video	16-11-2004		15-10-2005										Dave Willis (III)/ Matt Maiellaro	Dave Willis (III)/ Carey Means/ Dana Snyder (II)	Animated/ Color/ Closed-captioned	NR	30-12-2000	150
movie							0053939677126	B0001MZ7KA	us	Aqua Teen Hunger Force - Volume Two	Aqua Teen Hunger Force - Volume Two				DVD	2	Television/ Aqua Teen Hunger Force	$29.98	$17.99		4.5	Food products living in New Jersey go out of their minds crazy as hell. This is the story of Master Shake, Frylock and Meatwad: creatures who live together, unsupervised, somewhere near the Jersey shore. Carl, their next door neighbor, has an above-ground pool and an attitude.		Warner Home Video	20-07-2004		15-10-2005										Dave Willis (III)/ Matt Maiellaro	Dave Willis (III)/ Carey Means/ Dana Snyder (II)	Animated/ Color/ Closed-captioned	NR	30-12-2000	156
